SKU,NOMBRE,@IMAGEN,Publico,Mayoreo,Distribuidor,Caja,PZAS,Categoría,Descuento
BB-LQ1016,Bolsa De Cosmeticos,bb-lq1016.jpg,$15.00,$12.00,$11.00,$10.00,600,Salud y Belleza,0%
BB-LQ1017,Monederos O Bolsa Cosmetic,bb-lq1017.jpg,$15.00,$12.00,$11.00,$10.00,600,Salud y Belleza,0%
BB-LQ1015,Monederos O Bolsa Cosmetic,bb-lq1015.jpg,$15.00,$12.00,$11.00,$10.00,600,Salud y Belleza,0%
MR-870,Peine De Peluqueria,mr-870.jpg,$20.00,$16.00,$14.00,$13.00,200,Salud y Belleza,0%
HZJ-935,Set De Peine Con Espejo,hzj-935.jpg,$23.00,$19.00,$17.00,$16.00,360,Salud y Belleza,0%
BB-HZ1010,Bolsa De Cosmeticos,bb-hz1010.jpg,$25.00,$20.00,$18.00,$17.00,360,Salud y Belleza,0%
BB-1058,Monederos,bb-1058.jpg,$28.00,$23.00,$20.00,$19.00,600,Salud y Belleza,0%
BB-1059,Monederos,bb-1059.jpg,$28.00,$23.00,$20.00,$19.00,600,Salud y Belleza,0%
BB-1060,Monederos,bb-1060.jpg,$28.00,$23.00,$20.00,$19.00,600,Salud y Belleza,0%
BH-501,Depilador,bh-501.jpg,$28.00,$23.00,$20.00,$19.00,200,Salud y Belleza,0%
BH-21187,(BH-21187) Cosmétiquera Estuche,bh-21187.jpg,$29.00,$23.00,$21.00,$20.00,150,Salud y Belleza,0%
BH-2107,(BH-2107) Plancha para Cabello,bh-2107.jpg,$29.00,$23.00,$21.00,$20.00,120,Salud y Belleza,0%
XT-9921,Parche De Pecho,xt-9921.jpg,$32.00,$25.00,$22.00,$21.00,200,Salud y Belleza,0%
BB-1025,Bolsa De Cosmeticos,bb-1025.jpg,$38.00,$31.00,$27.00,$26.00,180,Salud y Belleza,0%
BB-1027,Bolsa De Cosmeticos,bb-1027.jpg,$38.00,$31.00,$27.00,$26.00,180,Salud y Belleza,0%
HZJ-932,Espejo,hzj-932.jpg,$45.00,$36.00,$32.00,$30.00,120,Salud y belleza,0%
MR-322,Horquilas Rectas,mr-322.jpg,$70.00,$56.00,$49.00,$47.00,100,Salud y Belleza,0%
MR-853,Depilador Facial,mr-853.jpg,$78.00,$63.00,$55.00,$52.00,200,Salud y Belleza,0%
MR-049,Limpiador Facial,mr-049.jpg,$87.00,$69.00,$61.00,$58.00,150,Salud y Belleza,0%
K-733,Pon Cosas En El Estante,k-733.jpg,$142.00,$113.00,$100.00,$94.00,40,Salud y Belleza,0%
MR-933,Instrumento De Belleza,mr-933.jpg,$142.00,$113.00,$100.00,$94.00,80,Salud y Belleza,0%
MR-925,Secador,mr-925.jpg,$250.00,$200.00,$176.00,$167.00,60,Salud y Belleza,0%
KQL-6101,Soporte para cepillo de dientes,kql-6101.jpg,$165.00,$132.00,$116.00,$110.00,75,Salud y Belleza,0%
KQL-6102,Soporte para cepillo de dientes,kql-6102.jpg,$210.00,$168.00,$148.00,$140.00,35,Salud y Belleza,0%
